"No.","Time","Source","Destination","Protocol","Length","Info"
"9913","36.385085682","134.224.67.86","192.168.1.44","TCP","66","443  >  45928 [ACK] Seq=7659 Ack=9284 Win=16 Len=0 TSval=1380065727 TSecr=3700357909"
"9914","36.391998721","134.224.67.86","192.168.1.44","UDP","1287","8801  >  57091 Len=1245"
"9915","36.400166584","134.224.67.86","192.168.1.44","UDP","1295","8801  >  57091 Len=1253"
"9920","36.402362370","134.224.67.86","192.168.1.44","UDP","1295","8801  >  57091 Len=1253"
"9922","36.421921361","134.224.67.86","192.168.1.44","UDP","1295","8801  >  57091 Len=1253"
"9924","36.430137440","134.224.67.86","192.168.1.44","UDP","1294","8801  >  57091 Len=1252"
"9925","36.431327083","134.224.67.86","192.168.1.44","UDP","1294","8801  >  57091 Len=1252"
"9926","36.463258405","134.224.67.86","192.168.1.44","UDP","1294","8801  >  57091 Len=1252"
"9927","36.472309966","134.224.67.86","192.168.1.44","UDP","1326","8801  >  57091 Len=1284"
"9930","36.473621206","134.224.67.86","192.168.1.44","UDP","1223","8801  >  57091 Len=1181"
"9931","36.473643219","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"9939","36.505154573","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"9941","36.519203431","134.224.67.86","192.168.1.44","UDP","94","8801  >  57091 Len=52"
"9942","36.524040291","134.224.67.86","192.168.1.44","UDP","1223","8801  >  57091 Len=1181"
"9943","36.524176368","134.224.67.86","192.168.1.44","UDP","1223","8801  >  57091 Len=1181"
"9945","36.533533592","134.224.67.86","192.168.1.44","UDP","1223","8801  >  57091 Len=1181"
"9946","36.535854411","134.224.67.86","192.168.1.44","UDP","1216","8801  >  57091 Len=1174"
"9947","36.542985630","134.224.67.86","192.168.1.44","UDP","1216","8801  >  57091 Len=1174"
"9950","36.544031945","134.224.67.86","192.168.1.44","UDP","1216","8801  >  57091 Len=1174"
"9951","36.552653363","134.224.67.86","192.168.1.44","UDP","1216","8801  >  57091 Len=1174"
"9952","36.552817743","134.224.67.86","192.168.1.44","UDP","1216","8801  >  57091 Len=1174"
"9955","36.557265081","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"9957","36.576826755","134.224.67.86","192.168.1.44","UDP","1216","8801  >  57091 Len=1174"
"9958","36.576990580","134.224.67.86","192.168.1.44","UDP","1216","8801  >  57091 Len=1174"
"9959","36.582807400","134.224.67.86","192.168.1.44","UDP","1247","8801  >  57091 Len=1205"
"9960","36.594997801","134.224.67.86","192.168.1.44","UDP","1218","8801  >  57091 Len=1176"
"9962","36.603110371","134.224.67.86","192.168.1.44","UDP","1218","8801  >  57091 Len=1176"
"9963","36.603276824","134.224.67.86","192.168.1.44","UDP","1218","8801  >  57091 Len=1176"
"9972","36.655230525","134.224.67.86","192.168.1.44","UDP","1218","8801  >  57091 Len=1176"
"9973","36.655985494","134.224.67.86","192.168.1.44","UDP","1162","8801  >  57091 Len=1120"
"9974","36.660283124","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"9976","36.672746545","134.224.67.86","192.168.1.44","UDP","1162","8801  >  57091 Len=1120"
"9977","36.674161456","134.224.67.86","192.168.1.44","UDP","1161","8801  >  57091 Len=1119"
"9978","36.674320346","134.224.67.86","192.168.1.44","UDP","1161","8801  >  57091 Len=1119"
"9979","36.683989613","134.224.67.86","192.168.1.44","UDP","1161","8801  >  57091 Len=1119"
"9980","36.684153638","134.224.67.86","192.168.1.44","UDP","1193","8801  >  57091 Len=1151"
"9987","36.732249751","134.224.67.86","192.168.1.44","UDP","1042","8801  >  57091 Len=1000"
"9988","36.732391489","134.224.67.86","192.168.1.44","UDP","1042","8801  >  57091 Len=1000"
"9989","36.735035272","134.224.67.86","192.168.1.44","UDP","1041","8801  >  57091 Len=999"
"9990","36.765355438","134.224.67.86","192.168.1.44","UDP","1041","8801  >  57091 Len=999"
"9991","36.770389256","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"9994","36.787225879","134.224.67.86","192.168.1.44","UDP","1199","8801  >  57091 Len=1157"
"9995","36.787386725","134.224.67.86","192.168.1.44","UDP","1198","8801  >  57091 Len=1156"
"10003","36.802668959","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"10005","36.816199656","134.224.67.86","192.168.1.44","UDP","1198","8801  >  57091 Len=1156"
"10006","36.816361287","134.224.67.86","192.168.1.44","UDP","1198","8801  >  57091 Len=1156"
"10007","36.826594595","134.224.67.86","192.168.1.44","UDP","1198","8801  >  57091 Len=1156"
"10009","36.842818620","134.224.67.86","192.168.1.44","UDP","159","8801  >  57091 Len=117"
"10012","36.846759397","134.224.67.86","192.168.1.44","UDP","1198","8801  >  57091 Len=1156"
"10013","36.846914734","134.224.67.86","192.168.1.44","UDP","1198","8801  >  57091 Len=1156"
"10014","36.847750717","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"10015","36.856570798","134.224.67.86","192.168.1.44","UDP","1230","8801  >  57091 Len=1188"
"10019","36.886646373","134.224.67.86","192.168.1.44","UDP","1136","8801  >  57091 Len=1094"
"10020","36.886759713","134.224.67.86","192.168.1.44","UDP","1135","8801  >  57091 Len=1093"
"10022","36.907688000","134.224.67.86","192.168.1.44","UDP","1135","8801  >  57091 Len=1093"
"10023","36.907839335","134.224.67.86","192.168.1.44","UDP","1135","8801  >  57091 Len=1093"
"10024","36.916438169","134.224.67.86","192.168.1.44","UDP","1135","8801  >  57091 Len=1093"
"10025","36.919041323","134.224.67.86","192.168.1.44","UDP","1273","8801  >  57091 Len=1231"
"10030","36.947861006","134.224.67.86","192.168.1.44","UDP","1273","8801  >  57091 Len=1231"
"10033","36.949773039","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"10034","36.958207339","134.224.67.86","192.168.1.44","UDP","1273","8801  >  57091 Len=1231"
"10035","36.958403794","134.224.67.86","192.168.1.44","UDP","1272","8801  >  57091 Len=1230"
"10039","36.977825416","134.224.67.86","192.168.1.44","UDP","1272","8801  >  57091 Len=1230"
"10040","36.987745954","134.224.67.86","192.168.1.44","UDP","1272","8801  >  57091 Len=1230"
"10041","36.987931110","134.224.67.86","192.168.1.44","UDP","1304","8801  >  57091 Len=1262"
"10044","36.997714639","134.224.67.86","192.168.1.44","UDP","1199","8801  >  57091 Len=1157"
"10045","36.997845272","134.224.67.86","192.168.1.44","UDP","1199","8801  >  57091 Len=1157"
"10050","37.049093135","134.224.67.86","192.168.1.44","UDP","1199","8801  >  57091 Len=1157"
"10051","37.049245279","134.224.67.86","192.168.1.44","UDP","1198","8801  >  57091 Len=1156"
"10052","37.060810281","134.224.67.86","192.168.1.44","UDP","1275","8801  >  57091 Len=1233"
"10053","37.069104348","134.224.67.86","192.168.1.44","UDP","1275","8801  >  57091 Len=1233"
"10056","37.070482378","134.224.67.86","192.168.1.44","UDP","130","8801  >  53820 Len=88"
"10057","37.078997760","134.224.67.86","192.168.1.44","UDP","1275","8801  >  57091 Len=1233"
"10060","37.088955416","134.224.67.86","192.168.1.44","UDP","1274","8801  >  57091 Len=1232"
"10063","37.098776466","134.224.67.86","192.168.1.44","UDP","1274","8801  >  57091 Len=1232"
"10066","37.101225341","134.224.67.86","192.168.1.44","UDP","167","8801  >  57091 Len=125"
"10069","37.110113992","134.224.67.86","192.168.1.44","UDP","1274","8801  >  57091 Len=1232"
"10070","37.120156385","134.224.67.86","192.168.1.44","UDP","1274","8801  >  57091 Len=1232"
"10071","37.130370945","134.224.67.86","192.168.1.44","UDP","1306","8801  >  57091 Len=1264"
"10073","37.133769207","134.224.67.86","192.168.1.44","UDP","1259","8801  >  57091 Len=1217"
"10078","37.160324631","134.224.67.86","192.168.1.44","UDP","1259","8801  >  57091 Len=1217"
"10079","37.160491851","134.224.67.86","192.168.1.44","UDP","1259","8801  >  57091 Len=1217"
"10081","37.171453162","134.224.67.86","192.168.1.44","UDP","1259","8801  >  57091 Len=1217"
